Starting app on Galaxy Tab S4
05-10 23:37:27.043 E/Zygote  ( 8543): isWhitelistProcess - Process is Whitelisted
05-10 23:37:27.050 E/libpersona( 8543): scanKnoxPersonas
05-10 23:37:27.509 I/zygote  ( 8543):   at void org.torproject.android.OrbotMainActivity.onCreate(android.os.Bundle) (OrbotMainActivity.java:179)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.app.Activity.performCreate(android.os.Bundle, android.os.PersistableBundle) (Activity.java:7258)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7249)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1221)
05-10 23:37:27.509 I/zygote  ( 8543):   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2927)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:3059)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1724)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:106)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.os.Looper.loop() (Looper.java:164)
05-10 23:37:27.509 I/zygote  ( 8543):   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:7002)
05-10 23:37:27.509 I/zygote  ( 8543):   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
05-10 23:37:27.509 I/zygote  ( 8543):   at void com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run() (RuntimeInit.java:441)
05-10 23:37:27.509 I/zygote  ( 8543):   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:1408)
05-10 23:37:27.509 I/zygote  ( 8543): 
05-10 23:37:27.545 D/ScrollView( 8543): initGoToTop
05-10 23:37:27.693 D/InputTransport( 8543): Input channel constructed: fd=73
05-10 23:37:27.696 D/ViewRootImpl@6ce06f3[OrbotMainActivity]( 8543): setView = DecorView@ec92fb0[OrbotMainActivity] TM=true MM=false
05-10 23:37:27.693 D/InputTransport( 8543): Input channel constructed: fd=73
05-10 23:37:27.696 D/ViewRootImpl@6ce06f3[OrbotMainActivity]( 8543): setView = DecorView@ec92fb0[OrbotMainActivity] TM=true MM=false
05-10 23:37:28.116 I/TorService( 8543): onCreate end
05-10 23:37:28.134 D/ViewRootImpl@6ce06f3[OrbotMainActivity]( 8543): dispatchAttachedToWindow
05-10 23:37:28.152 D/ViewRootImpl@6ce06f3[OrbotMainActivity]( 8543): Relayout returned: old=[0,0][0,0] new=[0,0][1600,2560] result=0x1 surface={valid=false 0} changed=false
05-10 23:37:28.152 D/ViewRootImpl@6ce06f3[OrbotMainActivity]( 8543): Relayout returned: old=[0,0][0,0] new=[0,0][1600,2560] result=0x1 surface={valid=false 0} changed=false
05-10 23:37:28.157 D/ScrollView( 8543):  onsize change changed
05-10 23:37:28.161 E/ViewRootImpl@6ce06f3[OrbotMainActivity]( 8543): Surface is not valid.
05-10 23:37:28.265 D/InputTransport( 8543): Input channel constructed: fd=74
05-10 23:37:28.265 D/InputTransport( 8543): Input channel constructed: fd=74
05-10 23:37:28.266 D/ViewRootImpl@f80d8a6[OnboardingActivity]( 8543): setView = DecorView@24302e7[OnboardingActivity] TM=true MM=false
05-10 23:37:28.266 D/ViewRootImpl@f80d8a6[OnboardingActivity]( 8543): setView = DecorView@24302e7[OnboardingActivity] TM=true MM=false
05-10 23:37:28.288 D/ViewRootImpl@6ce06f3[OrbotMainActivity]( 8543): Relayout returned: old=[0,0][1600,2560] new=[0,0][1600,2560] result=0x1 surface={valid=false 0} changed=false
05-10 23:37:28.289 D/ViewRootImpl@f80d8a6[OnboardingActivity]( 8543): dispatchAttachedToWindow
05-10 23:37:28.327 D/ViewRootImpl@f80d8a6[OnboardingActivity]( 8543): Relayout returned: old=[0,0][0,0] new=[0,0][1600,2560] result=0x27 surface={valid=true 3501457408} changed=true
05-10 23:37:28.379 D/OpenGLRenderer( 8543): HWUI GL Pipeline
